hɐŋ	cook
reŋ	finger
kʰej	crooked/bent
ja	palm (of hand)
tuj	word/speech
ni	seven
paj	defecate
muj	itchy
kʰa	chin
paj	can/be easy
tʰum	hide
pʰa	seek/search
min	ripe/well-cooked
fu	dog
wan	flower
si	comb
tʰɐk	kick
wo	grandfather
hɐm	pot
luŋ	heart
mej	fire
kʰa	cough
rɐr	uncle (fathers older brother)
la	song
muj	sister-in-law (wife of brother)
kʰut	smoke
rej	twist itself to turn back
tʰa	seed
cuj	burn, ignite
raj	war
tsa	be sick
jor	sell
ʃi	wind
tʰuj	awaken
kʰuj	bee
koŋ	river
ci	fear (& frighten?), be afraid
paŋ	arm
rɐk	weave
tɐp	be slow
wo	great grandfather
ruk	six
paj	fly
miŋ	name
caŋ	wing
va	father
mej	comparative degree
mi	cat
ri	intestines (ak´ri)
ta	be far off
vu	mother
tʰak	kick
tsej	spear
ji	grandmother
lɐŋ	eagle
won	flower
cuj	burn; burning fire
ri	intestines
ju	kiss
sɐm	hair (head)
na	leaf
mor	mouth
ko	nine
sa	animal, meat
lo	vomit
tsɐn	sharp
luŋ	stone
kʰok	be deaf
tʰi	die for something
tʰur	sour; bitter (person)
tsiŋ	sky/rain
cuŋ	many, a lot of
ʃat	eight
ru	water
ra	untie
ʃim	mortar
ta	fall (from a height)
tɐt	cut (meat)
paŋ	hand
tʰi	die
ho	call
ʃun	be midday
sa	body
pʰew	wash (hands)
ru	egg (hàr 'chicken' + -ru 'water')
pʰa	search
kʰu	village
cap	weep
saŋ	long
ti	four
cik	wash hands
tsu	touch
ru	grandchild
haj	shout in singing
sam	rice (hulled)
tsɐŋ	enter
ku	twenty
pim	needle
co	spit
ʃoŋ	road
si	blood
wor	swell
cɐp	weep, cry
joŋ	monkey
nɐp	stick (v.)
lej	exist, have, be
wo	crawl
pʰej	foot
ru	bone
wo	grandfather, uncle
haŋ	be bright
cap	weep, cry
lum	warm
haw	start
pʰa	be good
tɐm	carry by mouth (dog)
nu	laugh
tek	green
kʰuk	knee
tew	be small, low
rɐk	make a basket; to weave
var	mushroom
tok	brain
kʰaj	fish
tʰɐr	new
wok	burst off (bottle)
ri	son-in-law
ci	horn
hut	leech
lo	buy
niŋ	stand
wo	uncle (mothers brother)
co	saliva (-co 'spit' + -ru 'water')
ci	fear/frighten
tʰaw	drive
la	ashes
tsat	walk
hɐr	fowl
paŋ	hand/arm
ja	agree/accept
caŋ	want, like
tsa	eat (e.g. rice)
mej	tail
tsa	eat (rice)
tʰin	liver
kʰaj	knife
kʰaw	grasshopper
nɯ	laugh
ʃa	thick
mot	plantain, banana
ŋom	bear
tʰi	bile
na	ear
ʃuŋ	close
ru	egg
ca	necklace
hɐn	expect
cuj	dig
wo	father-in-law
tsik	black
pʰit	hit (with stick), hammer (get tone)
kej	kidney
pi	sleep/lie down
ka	climb, ascend, up; do in upward path (postp.)
pʰuŋ	carry
nɐm	smell
liŋ	ant
ʃok	scoop out
ruj	thread a needle to string flowers
nɐ	thou
tsa	eat
liŋ	ant 
cuj	burn
tʰiŋ	tree/wood/stick
kʰow	dirty
vuk	belly
rip	scale (of fish)
rit	heavy
ʃim	house
lɐt	self
lej	tongue
tʰuj	awaken, wake up, leave, sprout (plant)
tʰɐr	clean
riŋ	alive; + phaa 'be happy'
kaw	scratch
mi	person
ʃut	rub
tʰum	three
pʰe	slap
tʰeŋ	dry
wuk	belly
ru	snake
paj	fly, jump
si	water buffalo, mathun
mɐŋ	drink
luj	field
rik	louse
ni	aunt (fathers sister)
lek	lick
tsɐr	sister (younger than male ego)
huj	animal skin
sɯ	wash (clothes)
kʰa	bitter
ʃuj	decay
nuj	fry
ʃok	emerge
kʰaj	crab
la	shadow
tʰɐt	kill
kum	year
kʰoŋ	neck
tsat	rice (cooked)
kuj	horse
ma	wound
huj	wither/fade
tʰaw	oil
mɐŋ	dream
ʃu	dove
la	bow, arrow
jɐŋ	look
ta	fall from height
pet	soft
lej	squirrel
rum	add together, together
ha	hair (on body)
luj	water buffalo
caw	deer
tʰu	exchange
riŋ	alive
tʰen	dry
ŋa	five
sa	hot/spicy/pungent
kuj	head
veŋ	lightweight
ʃup	pick up stones etc. from rice
ʃi	blood
tʰej	fruit
ni	aunt, mother-in-lw
tʰuj	rise up, wake up
kap	shoot one another
vak	rightside
sam	hair (on head)
muj	cloud
rɐm	land
tii	four
ju	wet
na	nose
rap	rib
kap	shoot
rak	weave
ʃok	emerge, exit, occur, happen; do in exiting/emerging path (postp.)
niŋ	think
pʰa	snake (ph´$
cɐp	weep for someone
mit	scrape, rub
tʰaj	be hungry
cor	spit
kʰɐk	breath
ca	ant
tsim	suck
su	wash (clothes)
tek	break
huj	ginger
kʰa	be bitter
ni	two
rok	larynx
tʰuj	wake up from sleeping
ʃɐp	be skilled at, be adept at, well versed in; be enough?
laj	forget
ra	sharpen
sik	cold
ʃa	hundred
riŋ	be alive
tʰuk	deep
tʰen	cause to dry
maj	face
ʃi	feel bad, be upset; be difficult (postp.)
kuj	pestle
naj	pus
kɐj	bite
ha	bamboo
kan	cross
haw	be rough
haj	vagina/vulva
lej	earth
ʃɐŋ	penis
kwi	horse
ʃat	thorn
juŋ	root
tʰaw	fat
kʰaŋ	lift
kaj	break
sa	do/make
pa	brother, girl younger  ML
maŋ	disappear; to be lost
kʰur	anus
pʰə	snake
si	wind
kɐk	cut (wood)
tuŋ	descend, go down; do in downward path (postp.)
caŋ	moon
luj	fall
tʰej	know/see
ʃim	sweet
ci	salt
su	tie
kej	bite
mej	brother (older than ego)
ʃo	open (door)
ha	tooth
hok	pig
suj	tempt
ha	axe
ʃok	come out
mak	brother-in-law
naw	child
nuk	shake (sth.)
mik	eye
tʰa	be like, resemble; cf. na ká thàà talè 'how are you?'
ra	ten
vak	leftside
reŋ	lizard
wuk	belly (exterior)
ŋaj	want, desire (post-posed to main verb)
ca	ant 
tʰak	fast, quick, come before time
kaw	dry (meat, vegetable, etc.)
ni	mother-in-law
pʰuŋ	mountain
hɐn	curry
